no,author,text,platform,label
11,Jodi17846282,"PENEMPATAN IKN SANGAT TEPAT
MARI KITA DUKUNG.!! 
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia https://t.co/x9Qxq0yxSw",twitter,negatif
12,sambelp55848246,@maryshelparaiso ikn mantap dukung selalu,twitter,negatif
13,ourlittleboyz,"@dragon3mpror @maryshelparaiso IKN Nusantara di dukung masyarakat, IKN akan membawa Indonesia semakin membuka peluang usaha #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/mHrzEMwrtE",twitter,positif
14,Lesli89280941,"Kerja sama IKN Nusantara dengan daerah mitra sangat penting. Kami hadir mendukung ❤️

#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju https://t.co/geDUiKym96",twitter,netral
15,Jodi17846282,"MANTAP KAWAL DAN DUKUNG
PEMBANGUNAN IKN
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia https://t.co/0WZdcGIeNh",twitter,netral
16,EviAdam7,"Kerjsama IKN dengan daerah mitra sangat penting
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia https://t.co/wcB7XSJaeP",twitter,netral
17,dragon3mpror,@maryshelparaiso mantap ikn,twitter,negatif
18,Lesli89280941,"Pembangunan IKN Nusantara buka peluang bisnis bagi pelaku UMKM di Kaltim. Kami hadir mendukung ❤️

#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju https://t.co/iVOpeqQeKW",twitter,positif
19,EviAdam7,"IPAL di KIPP IKN Nusantara lindungi kualitas air tanah dan cegah pencemaran lingkungan
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia https://t.co/M5WR3lBGNe",twitter,negatif
20,kavamorlop6369,"Pembangunan IKN buka peluang bisnis
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#ibukotabarumendunia https://t.co/H7gN57tp6d",twitter,positif
21,updatesivana,"Dukung IKN, karena IKN akan memberikan kesejahteraan bagi masyarakat di Kalimantan. #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/jSBhVGzhYQ",twitter,netral
22,updatesivana,UP3 Balikpapan Kalimantan Timur mendukung pembangunan Infrastruktur di IKN. #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/GYKYRWmeG0,twitter,negatif
23,sambelp55848246,@maryshelparaiso ikn pasti keren,twitter,negatif
24,Lesli89280941,"Pembangunan IKN Nusantara untuk pemerataan ekonomi. Kami hadir mendukung ❤️

#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju https://t.co/7hIVywb98Y",twitter,positif
25,tikaaasarii,@maryshelparaiso ikn pasti terbaik lah,twitter,negatif
26,updatesivana,Dukung IKN Dengan adanya IKN Kemajuan indonesia akan pesat #KotaDuniaUntukSemua #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/ytnFLnrffe,twitter,netral
27,updatesivana,Semoga bisa lebih sejahtera lagi ya masyarakat   Indonesia dgn ada nya IKN  #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/7cId8tmyz5,twitter,netral
28,updatesivana,Ekonomi jadi naik karena pembangunan IKN Kami Dukung IKN Maju #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/UeN6jJCqkv,twitter,positif
29,bee_tedi,"IKN Nusantara Akan Membawakan Dampak Positif Pada Perekonomian dan Pembantu di Kalimantan 
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia https://t.co/iEW3xtPG9e",twitter,positif
30,dragon3mpror,@maryshelparaiso dukung terus ikn yuk,twitter,negatif
31,Indrafirman7777,Pemerintah janji kualitas jalan tol di IKN Nusantara terbaik. Kami Mendukung Penuh ❤️ #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/5HipaQD9Gt,twitter,negatif
32,KominfoKalbar,"Sejarah baru peradaban baru 'IKN Smart City'

#pemprovkalbar #diskominfoprovkalbar #iknsmartcity #nusantara https://t.co/e6D6okQ976",twitter,negatif
33,EviAdam7,"Keberadaan IKN Nusantara sangat berdampak positif terhadap pembangunan dan perekonomian di Provinsi Kalimantan Timur
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia https://t.co/iuZSpZDPhJ",twitter,netral
34,tanyaAzka,"@STresnowat1 @BerhadiahPulpen Melihat proyek food estate yg lumayan besar itu gagal, kemudian kereta cepat revisi terus budget dan waktunya, maka saya percaya bahwa IKN pun akan mangkrak.. Dan percaya jg bhw para stakeholder nya sedang pusing cari cara pembelaan nya yg akan dibuzzer oleh para buzzerRp",twitter,negatif
35,updatesivana,bagi orang kehadiran IKN merupakan perhatian yang besar dari pemerintah #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/PUh2hffxgB,twitter,negatif
36,ourlittleboyz,@maryshelparaiso IKN siap bersaing dalam sektor pariwisata dukung #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/8WjwZP7orF,twitter,negatif
37,Kaitlyn53504017,"IKN Nusantara akan menjadi tantangan nyata untuk pelaku UMKM. Kami hadir mendukung ❤️

#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju https://t.co/szL5MCnMn4",twitter,positif
38,Kaitlyn53504017,"IKN Nusantara akan jadi contoh peradaban baru kehidupan perkotaan di Indonesia. Kami hadir mendukung ❤️

#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju https://t.co/S6UW3EAgej",twitter,negatif
39,imey_mis,"sebagian besar wilayah IKN untuk hutan tropis
#KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/1j29Pav22H",twitter,negatif
40,Kaitlyn53504017,"70 % area IKN Nusantara akan dilestarikan sebagai hutan tropis. Kami hadir mendukung ❤️

#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju https://t.co/Vkdzr10ZuK",twitter,negatif
41,imey_mis,"IKN lindungi lingkungan dan alam
#KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/VOdoffWsRK",twitter,negatif
42,Kaitlyn53504017,"IPAL di KIPP IKN Nusantara lindungi kualitas air tanah dan cegah pencemaran lingkungan. Kami hadir mendukung ❤️

#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju https://t.co/bOGPSTSE6f",twitter,negatif
43,imey_mis,"masyarakat dukung pembangunan IKN
#KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/b3OjVvv4gC",twitter,netral
44,NasraRaya,"IKN Ibu Kota masa depan Indonesia
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia https://t.co/lCYb8EZVDj",twitter,negatif
45,JanetBrawner2,"IKN sukses masyarakat bangga
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia
Kami Mendukung Penuh ❤️ https://t.co/uDbGXglY9E",twitter,negatif
46,Kaitlyn53504017,"IKN Nusantara bakal berdampak terhadap pembangunan dan perekonomian di Kaltim. Kami hadir mendukung ❤️

#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju https://t.co/scjv9BZvcG",twitter,netral
47,JanetBrawner2,"IKN Nusantara Merupakan Wujud Simbol Kerukunan Bangsa Indonesia. AYo dukung IKN 
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia
Kami Mendukung Penuh https://t.co/tEKXBQdtXs",twitter,negatif
48,ourlittleboyz,@Merdekasatu1 @maryshelparaiso Masyarakat bangga dan terus dukung Pembangunan IKN  #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/RIIpUpypyx,twitter,netral
49,JanetBrawner2,"Pembangunan IKN Untuk Pengembangan Perekonomian Indonesia
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia
Kami Mendukung Penuh ❤️ https://t.co/KtGA61DKBv",twitter,positif
50,imey_mis,"IKN wujud pemerataan ekonomi
#KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/gq1jTaH8Pv",twitter,positif
51,JanetBrawner2,"Mantap IKN Akan Meningkatkan Ekonomi  #KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia
Kami Mendukung Penuh ❤️ https://t.co/5Z2S2UA4rF",twitter,positif
52,imey_mis,"IKN wujud pembangunan Indonesia sentris
#KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/ahiCaau1Lq",twitter,netral
53,imey_mis,"IKN buka peluang bisnis bagi pelaku UMKM
#KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/NEWJsGH6qf",twitter,positif
54,JulieOl25432473,"Mantap IKN Akan Meningkatkan Ekonomi  #KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia
Kami Mendukung Penuh ❤️ https://t.co/qkDytjgHsA",twitter,positif
55,JulieOl25432473,"Pembangunan IKN Untuk Pengembangan Perekonomian Indonesia
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia
Kami Mendukung Penuh ❤️ https://t.co/Gt6xEkXEAn",twitter,positif
56,imey_mis,"kerja sama IKN dengan daerah mitra sangat penting
#KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/4cZPYpQTbI",twitter,netral
57,JulieOl25432473,"IKN memberikan peluang baru, Keren!
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia
Kami Mendukung Penuh ❤️ https://t.co/DG2Spg7v4e",twitter,netral
58,JulieOl25432473,"IKN Nusantara Merupakan Wujud Simbol Kerukunan Bangsa Indonesia. AYo dukung IKN 
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia
Kami Mendukung Penuh https://t.co/ok91ej4vuv",twitter,negatif
59,AyuLest1212,"pembangunan IKN terbaik !!

#KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/KpYD1o0BsP",twitter,negatif
60,ourlittleboyz,"@Opposih6890bio @jiwa_tertukar @maryshelparaiso IKN berpotensi bikin Indonesia jadi pusat teknologi? Mantap ga tuh. Yuk dukung pembangunan IKN, Salam  #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/UN2zfudiEn",twitter,negatif
61,ourlittleboyz,@trianaagustin32 @maryshelparaiso IKN siap bersaing dalam sektor pariwisata dukung #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/8WjwZP7orF,twitter,negatif
62,nindyriaa,Bangga dengan pembangunan IKN yang sangat bagus  #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/VgfXuYahRe,twitter,negatif
63,nindyriaa,Warga Dukung IKN Peluang Besar untuk ciptakan pusat pertumbuhan ekonomi. #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara https://t.co/CNUOjG8rxj,twitter,positif
64,nindyriaa,Pembangunan IKN sangat dinantikan warga Indonesia #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/woJw66kilg,twitter,netral
65,nindyriaa,"Keren, IKN akan menjadi kota cerdas hijau, indah dan berkelanjutan #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/isrts1dzJB",twitter,negatif
66,nindyriaa,IKN Nusantara menguntungkan untuk semua sektor Indonesia #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/WaZi1yfzCr,twitter,netral
67,nindyriaa,"IKN kota keren masa depan, pakai konsep Future Smart Forest City #KotaDuniaUntukSemua #IKNSejahterakanIndonesia https://t.co/arg8dkyE9E",twitter,negatif
68,nindyriaa,IKN sangat bermanfaat untuk perekonomian Indonesia #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/OQj2x08otM,twitter,positif
69,nindyriaa,Kami semua sangat menunggu Pembangunan IKN #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/eMKUSP7adv,twitter,negatif
70,nindyriaa,Pemerintah akan percepat pembangunan IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/vqcAH5cVeb,twitter,negatif
71,nindyriaa,Tujuan IKN sendiri agar tidak terjadi nya sesak seperti Ibu Kota Jakarta saat ini #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/BVNffe9ecf,twitter,negatif
72,nindyriaa,IKN membuka peluang kerja sama dengan Luar Kalimantan Kereen #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/CF78NqYg4E,twitter,netral
73,nindyriaa,Pembangunan IKN Nusantara Pertahankan Kelestarian Satwa.   #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara https://t.co/3cVBy8D7gK,twitter,negatif
74,nindyriaa,Pemerintah Indonesia bekerja sama dengan Negara luar untuk perkuatan pembangunan IKN #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/REBXcabwE5,twitter,netral
75,nindyriaa,Pemerataan pembangunan Kami Dukung IKN Maju #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara https://t.co/tBKYHUTbs8,twitter,netral
76,nindyriaa,Pembangunan IKN Nusantara dipastikan akan terus berjalan karena jadi bukti kemajuan pembangunan Indonesia #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/57zTGtqnLn,twitter,netral
77,nindyriaa,"Indonesia Semakin Maju Dengan adanya IKN Nusantara, bersama kita dukung IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi https://t.co/xtH5Z7oSzL",twitter,netral
78,nindyriaa,Dengan ada nya IKN kesejahteraan rakyat terjamin #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/DYdApFUXjd,twitter,netral
79,nindyriaa,IKN Nusantara Merupakan Wujud Simbol Kerukunan Bangsa Indonesia. AYo dukung IKN #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #Indonesiamaju https://t.co/y9Wg9h42jo,twitter,negatif
80,nindyriaa,Pemerintah melestarikan kearifan lokal suku Dayak dengan membangun Dayak Center di IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/1YDk3T1lmW,twitter,negatif
81,nindyriaa,Presiden Joko Widodo IKN akan membawa kemajuan untuk Indonesia #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju https://t.co/pBCQTE78aW,twitter,negatif
82,nindyriaa,IKN memajukan Nusantara sampai mancanegara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/BNZ2TvUuYa,twitter,negatif
83,nindyriaa,IKN berdampak positif untuk lingkungan sekitar IKN #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/oVh95u0oTS,twitter,negatif
84,nindyriaa,IKN Nusantara Untun Indonesia yang lebih maju #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/HRdn46kGm8,twitter,negatif
85,nindyriaa,Pembangunan IKN bertujuan untuk penyetaraan pembangunan di Indonesia #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/ZQtaZFZR3p,twitter,netral
86,nindyriaa,IKN menjadi kebanggaan Indonesia di mancanegara.   #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara https://t.co/TngmRkf63U,twitter,negatif
87,nindyriaa,IKN simbol negara Kami Dukung IKN Maju #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara https://t.co/8gk8hotGRB,twitter,negatif
88,nindyriaa,Dengan adanya teknologi BIM pembangunan IKN akan di percepat #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/OVyfrJf7UR,twitter,negatif
89,nindyriaa,"Bersatu Dukung Program Pembangunan Pemerintah, Seluruh Ormas Indonesia Dukung Penuh Pembangunan IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/bj6Pah2xxW",twitter,negatif
90,nindyriaa,Seluruh kalangan siap membantu untuk pembangunan IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/X9qO8uAo3q,twitter,netral
