no,author,text,month,date
11,ririnrurin,@ourlittleboyz @maryshelparaiso Bersama kita dukung pembangunan ikn nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara,Februari,2023-04-07 07:57:25+00:00
12,HanifRa050191,"Era baru pembangunan Indonesia
#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/F5fkxltkmJ",Februari,2023-04-07 07:57:20+00:00
13,ourlittleboyz,"@maryshelparaiso Diperlukan dukungan dari seluruh pihak agar pembangunan IKN bisa berjalan sesuai rencana dan target pemerintah.

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/hOrlBdhLkG",Februari,2023-04-07 07:57:18+00:00
14,Lela55546705,"IKN Nusantara era baru pembangunan nasional
#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/msqCjddB8p",Februari,2023-04-07 07:57:04+00:00
15,HanifRa050191,"Konsep future smart forest city atau kota pintar hijau akan menjadikan IKN sebagai simbol baru Indonesia 
#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/1v04A5yDvH",Februari,2023-04-07 07:57:02+00:00
16,waktu_ghibah,"IKN meningkatkan ekonomi kreatif 

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan
#FormulaRamadanON  Jumat Agung Pharmaton #People_Pt2 #재잘재잘 Gorengan Harga Mati UU ITE https://t.co/4JuSjdqgxB",Februari,2023-04-07 07:57:00+00:00
17,waktu_ghibah,"IKN akan menjadi simbol dari transformasi ekonomi di Indonesia 

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan
#FormulaRamadanON  Jumat Agung Pharmaton #People_Pt2 #재잘재잘 Gorengan Harga Mati UU ITE https://t.co/oc1wm3mZhN",Februari,2023-04-07 07:56:59+00:00
18,waktu_ghibah,"IKN Stimulus pemerataan 

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan
#FormulaRamadanON  Jumat Agung Pharmaton #People_Pt2 #재잘재잘 Gorengan Harga Mati UU ITE https://t.co/Y9kGsho1kE",Februari,2023-04-07 07:56:59+00:00
19,waktu_ghibah,"Pemindahan IKN ke Kaltim untuk pemerataan pembangunan 

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan 
#FormulaRamadanON  Jumat Agung Pharmaton #People_Pt2 #재잘재잘 Gorengan Harga Mati UU ITE https://t.co/wNdMQxDCyQ",Februari,2023-04-07 07:56:58+00:00
20,Lela55546705,"IKN Nusnatara era pembangunan Indonesia
#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.coMFiBWlk96",Februari,2023-04-07 07:56:37+00:00
21,FGelael,@Opposih6890bio @maryshelparaiso IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi.  #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara,Februari,2023-04-07 07:56:36+00:00
22,lubis_fauza,@MMargani5 @showimah Masih kalah untuk investor ikn dunk 🤣🤣,Februari,2023-04-07 07:56:34+00:00
23,KurniaM13984136,"IKN Nusantara sebagai era baru pembangunan nasional 

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co3pNlIauFq",Februari,2023-04-07 07:56:15+00:00
24,Lela55546705,"IKN Nusantara merupakan transformasi ekonomi
#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/w4nKNAMOEp",Februari,2023-04-07 07:56:15+00:00
25,ourlittleboyz,"@Opposih6890bio @maryshelparaiso IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi.

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/jc3fSOwwQE",Februari,2023-04-07 07:56:13+00:00
26,tempo_english,Waskita Beton Eyeing to Bag Rp427bn from Contracts in IKN https://t.co/tcJTwr0QnT #TempoEnglish,Februari,2023-04-07 07:56:08+00:00
27,ourlittleboyz,"@BergetarNusa @maryshelparaiso IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi.

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/8IaWK5Lk9g",Februari,2023-04-07 07:56:03+00:00
28,ourlittleboyz,"@FGelael @maryshelparaiso IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi.

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/TSuUVKB6cf",Februari,2023-04-07 07:55:56+00:00
29,HanifRa050191,"Perpindahan IKN merupakan era baru bagi negara kita. Era transformasi ekonomi, pemerataan pembangunan pertumbuhan teknologi dan pembangunan yang Indonesia sentris
#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/pmZCCZSwGH",Februari,2023-04-07 07:55:45+00:00
30,ourlittleboyz,"@Opposih6890bio @maryshelparaiso IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi.

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/dE0zYfc2Zw",Februari,2023-04-07 07:55:39+00:00
31,Lela55546705,"Perpindahan IKN merupakan era baru bago negara
#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/vby2EELNQR",Februari,2023-04-07 07:55:36+00:00
32,KurniaM13984136,"IKN Nusantara merupakan era transformasi ekonomi 

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/6adWSR4vLf",Februari,2023-04-07 07:55:31+00:00
33,BergetarNusa,@maryshelparaiso Bersama kita dukung pembangunan ikn nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara,Februari,2023-04-07 07:55:23+00:00
34,ourlittleboyz,"@maryshelparaiso IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi.

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/dltufBkFUJ",Februari,2023-04-07 07:55:12+00:00
35,Lela55546705,"IKN merupakan era baru pembangunan Indonesia
#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/7jc7JefTGR",Februari,2023-04-07 07:55:10+00:00
36,KurniaM13984136,"IKN Nusantara merupakan era baru bagi bangsa Indonesia 

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/TKp0GiXnIN",Februari,2023-04-07 07:54:57+00:00
37,ourlittleboyz,"@ririnrurin @maryshelparaiso IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi.

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/kKRjMzVB8M",Februari,2023-04-07 07:54:52+00:00
38,ourlittleboyz,"@Opposih6890bio @maryshelparaiso IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi.

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/q19VwhpeeH",Februari,2023-04-07 07:54:43+00:00
39,ourlittleboyz,"@maryshelparaiso IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi.

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/yGSvCsutXu",Februari,2023-04-07 07:54:34+00:00
40,KurniaM13984136,"Dukung pembangunan IKN Nusantara 

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/CfoGEqE66q",Februari,2023-04-07 07:54:30+00:00
41,m_candra,"Ini logo Ibu Kota #NusantaraKita pilihanku: https://t.co/zeZQnu4ogZ . Saatnya ikut memilih dan ambil bagian untuk masa depan Indonesia, klik https://t.co/9Zev20effQ https://t.co/zeZQnu4ogZ",Februari,2023-04-07 07:54:25+00:00
42,taydh,"Ini logo Ibu Kota #NusantaraKita pilihanku: https://t.co/L0F6SrLT9f . Saatnya ikut memilih dan ambil bagian untuk masa depan Indonesia, klik https://t.co/ZUpd4mfi2T https://t.co/L0F6SrLT9f",Februari,2023-04-07 07:54:11+00:00
43,ourlittleboyz,"@maryshelparaiso IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi.

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/8NnaxHPKNp",Februari,2023-04-07 07:54:05+00:00
44,warga_kab,"WKWKWK bukannya emang kebanyakan orang begini? Udah beberapa kali buat konsep logo, secara artinya dikasih. Eh dibilang ""GITU DOANG GUA JUGA BISA"". Giliran disuruh nuangin ide, kalo gk lebih annoying ya ngeles mulu wkwk
Buat yg design logo IKN kalian udah kasih yg terbaik 👏🏻 https://t.co/Apczle75Tv",Februari,2023-04-07 07:53:59+00:00
45,karufakembala,WOY LOGO IKN CAKEP CAKEP ANJIR,Februari,2023-04-07 07:53:52+00:00
46,Opposih6890bio,@FGelael @maryshelparaiso IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi.  #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara,Februari,2023-04-07 07:53:31+00:00
47,Membangunnegri,"Jokowi mendorong kepada seluruh warga negara Indonesia untuk ikut berpartisipasi dalam pemilihan logo IKN berhadian motor listrik

JELEK BANGET | kylie | Official MV | Adora | Congratulations LISA | #SUGA | Coldplay Little Women | #JISOO | #aespa | Baeksang | #BreakingNews https://t.co/ogBdSx7sQE",Februari,2023-04-07 07:53:31+00:00
48,TarunaAdjie1,@soeyoto1 Sedang menghibur kegagalan mengelola keuangan negara yg hasilnya utang jumbo sampai2 thr PEGAWAI pemerintah dipotong dan pegawai IKN terlunta-lunta berbulan bulan ga digaji,Februari,2023-04-07 07:53:16+00:00
49,GraceKeana,"Bersama Kita Dukung Pembangunan IKN Nusantara
#IKNPemerataanEkonom #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/rJwFV8vpus",Februari,2023-04-07 07:53:14+00:00
50,DavinaDeema,"Bersama Kita Dukung Pembangunan IKN Nusantara
#IKNPemerataanEkonom #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/IBpwnVYkTM",Februari,2023-04-07 07:53:06+00:00
51,BergetarNusa,@Opposih6890bio @maryshelparaiso Bersama kita dukung pembangunan ikn nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara,Februari,2023-04-07 07:52:56+00:00
52,muhhussen,"@ikn_id Ini logo Ibu Kota #NusantaraKita pilihanku, krn ini logo paling inklusif dan IKN hrs terbuka unt semua kalangan/golongan: https://t.co/A3PptPQ9dE . Saatnya ikut memilih dan ambil bagian untuk masa depan Indonesia, klik https://t.co/KqdXX7QOqL https://t.co/A3PptPQ9dE",Februari,2023-04-07 07:52:38+00:00
53,fulsenyumsayang,"Pembangunan IKN akan gerakan berbagai sektor ekonomi

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/0cAX1T0J9r",Februari,2023-04-07 07:52:19+00:00
54,fulsenyumsayang,"pembangunan IKN bisa berjalan sesuai rencana dan target pemerintah.

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/At1MRS2mSN",Februari,2023-04-07 07:51:26+00:00
55,GraceKeana,"IKN Nusantara Sebagai Era Baru Pembangunan Nasional
#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/9ZsHjk3LdU",Februari,2023-04-07 07:51:18+00:00
56,CelinaDeema,"IKN Nusantara Sebagai Era Baru Pembangunan Nasional
#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/UmMrPDK1uD",Februari,2023-04-07 07:51:08+00:00
57,DavinaDeema,"IKN Nusantara Sebagai Era Baru Pembangunan Nasional
#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/bfwotRPQQ6",Februari,2023-04-07 07:50:58+00:00
58,BergetarNusa,@ririnrurin @maryshelparaiso IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi.  #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara,Februari,2023-04-07 07:50:47+00:00
59,fulsenyumsayang,"IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud transformasi ekonomi baru yang Indonesia-sentris

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/j174LrzXt3",Februari,2023-04-07 07:50:42+00:00
60,la_bolot,"IKN Merupakan Era Baru Pembangunan Indonesia, Mari Kita Dukung https://t.co/qnguJIkXPb",Februari,2023-04-07 07:49:54+00:00
61,Opposih6890bio,@ririnrurin @maryshelparaiso Bersama kita dukung pembangunan ikn nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara,Februari,2023-04-07 07:49:35+00:00
62,kupangzone,"IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi. Dukungan dari seluruh pihak sangat diperlukan agar pembangunan IKN bisa berjalan sesuai rencana
#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan https://t.co/vwgCabXlMF",Februari,2023-04-07 07:49:12+00:00
63,AlvinaAulya,Era Baru Pembangunan Indonesia ya di IKN Nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/FyWViAHD4a,Februari,2023-04-07 07:48:25+00:00
64,AlvinaAulya,Dukung terus pembangunan IKN Nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/uUF1hJVLeM,Februari,2023-04-07 07:48:25+00:00
65,AlvinaAulya,Ga sabar mau liat IKN Nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/zUClJ6kal4,Februari,2023-04-07 07:48:24+00:00
66,AlvinaAulya,Bangga banget ada IKN Nusantara nantinya #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co8tLcBxkcU,Februari,2023-04-07 07:48:23+00:00
67,AlvinaAulya,IKN Nusantara bakalan jadi Kota Modern #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/I1BSLD1jee,Februari,2023-04-07 07:48:23+00:00
68,AlvinaAulya,Keren sih konsep Future Smart Forest City di IKN Nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/M9Rkjodlw5,Februari,2023-04-07 07:48:22+00:00
69,AlvinaAulya,IKN Nusantara sebagai Era Baru Pembangunan Nasional #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/GK46RAM8dR,Februari,2023-04-07 07:48:21+00:00
70,BergetarNusa,@FGelael @maryshelparaiso IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi.  #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara,Februari,2023-04-07 07:48:18+00:00
71,bursakerja20,IKN Nusantara Dorong Pemerataan Pembangunan dan Buka Lapangan Kerja - https://t.co/zDx7iEcPDl https://t.co/zwq43REEbs,Februari,2023-04-07 07:47:52+00:00
72,Opposih6890bio,@maryshelparaiso Bersama kita dukung pembangunan ikn nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara,Februari,2023-04-07 07:46:46+00:00
73,Polsek_MBengkal,"https://t.co/9w37tbJD82, PPU – Personil Satuan Tugas Operasi Nusantara Mahakam Polda Kaltim melaksanakan patroli monitoring kamtibmas serta pengamanan di beberapa titik penting di kawasan Ibu Kota Negara (IKN).

(Selengkapnya di : https://t.co/o6QE9beiEe) https://t.co/EofFbi4s50",Februari,2023-04-07 07:45:33+00:00
74,BergetarNusa,@FGelael @maryshelparaiso Bersama kita dukung pembangunan ikn nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara,Februari,2023-04-07 07:45:21+00:00
75,lamyianez,"@rafidah72 sardin sendiri pn jrg beli sbb thu mahal. Mmg betul ada sardin yg murah tp x knfem brsih or x . Ikan fresh pula, rsanya hrga 1kg avrge Rm 12. Ada yg murah tp ikn slar kuning kcik.

Maybe kalau sorg shld be no prob. Howbout fmly?

Karipp yg inti angin pn boleh cecah 4kpg RM3.0",Februari,2023-04-07 07:44:56+00:00
76,Opposih6890bio,@BergetarNusa @maryshelparaiso IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi.  #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara,Februari,2023-04-07 07:44:20+00:00
77,PesulapCemek,"IKN kota masa depan
#IbuKotaNegara
#IKNNusantara
#PindahIbuKota https://t.co/R38jnNM7Vj",Februari,2023-04-07 07:42:54+00:00
78,BergetarNusa,@ririnrurin @maryshelparaiso Bersama kita dukung pembangunan ikn nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara,Februari,2023-04-07 07:42:21+00:00
79,FGelael,@ririnrurin @maryshelparaiso Bersama kita dukung pembangunan ikn nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara,Februari,2023-04-07 07:41:27+00:00
80,ririnrurin,@maryshelparaiso Bersama kita dukung pembangunan ikn nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara,Februari,2023-04-07 07:41:25+00:00
81,Opposih6890bio,@maryshelparaiso IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara,Februari,2023-04-07 07:40:50+00:00
82,gocsling,"IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi. Sehingga, diperlukan dukungan dari seluruh pihak agar pembangunan IKN bisa berjalan sesuai rencana dan target pemerintah.

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN https://t.co/e4MsGWLG3Y",Februari,2023-04-07 07:40:31+00:00
83,Hum4nNeRr0R_,"Lebih lanjut Prabowo juga mengiyakan bahwa akan adanya penambahan personil keamanan negara guna memaksimalkan sistem pertahanan di IKN Nusantara.
#PrabowoPemersatu   #IkutPakde Prabowo Subianto",Februari,2023-04-07 07:40:07+00:00
84,Hum4nNeRr0R_,"""Iya, IKN Nusantara akan pindah ke Kaltim, (sektor pertahanan dan keamanan ) sudah kita rencanakan dan perhitungkan,"" kata Prabowo saat ditemui pada kunjungan kerja di Samarinda, Kalimantan Timur, Sabtu (11/3).
#PrabowoPemersatu   #IkutPakde Prabowo Subianto",Februari,2023-04-07 07:40:05+00:00
85,Hum4nNeRr0R_,"Berbagai riset dan saran masuk ke Kemenhan untuk berupaya membangun sistem pertahanan di IKN Nusantara, baik darat, laut, dan udara.
#PrabowoPemersatu   #IkutPakde Prabowo Subianto",Februari,2023-04-07 07:40:04+00:00
86,Hum4nNeRr0R_,"https://t.co/gjePyyKyQh, SAMARINDA - Menteri Pertahanan ( Menhan ) Prabowo Subianto memastikan sektor pertahanan dan keamanan di Ibu Kota Nusantara atau IKN Nusantara sudah disiapkan.
#PrabowoPemersatu   #IkutPakde Prabowo Subianto",Februari,2023-04-07 07:40:03+00:00
87,Hum4nNeRr0R_,"Prabowo akan Benahi Alutsista untuk Pertahanan di IKN Nusantara, Antisipasi Ancaman Serangan Siber
#PrabowoPemersatu   #IkutPakde Prabowo Subianto https://t.co/JVpItP3KYk",Februari,2023-04-07 07:40:03+00:00
88,BergetarNusa,@maryshelparaiso IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara,Februari,2023-04-07 07:39:56+00:00
89,damarabagaskoro,"Ini logo Ibu Kota #NusantaraKita pilihanku: https://t.co/4DqDzUj0Gb . Saatnya ikut memilih dan ambil bagian untuk masa depan Indonesia, klik https://t.co/aXomAKo61f https://t.co/4DqDzUj0Gb",Februari,2023-04-07 07:39:48+00:00
90,FGelael,@maryshelparaiso IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi.  #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara,Februari,2023-04-07 07:39:33+00:00
91,tribunkaltim,"Detail Peta RDTR IKN Nusantara yang Resmi Dirilis Kementerian PUPR, Luas Lahan Istana 100 Hektare

#IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #RDTR #petaikn

https://t.co/LpS2O4fK4W lewat @tribunkaltim",Februari,2023-04-07 07:39:00+00:00
92,ririnrurin,@FGelael @maryshelparaiso IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi.  #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara,Februari,2023-04-07 07:38:53+00:00
